node_id,wall,building,sky,floor,tree,ceiling,road,bed,windowpane,grass,cabinet,sidewalk,person,earth,door,table,mountain,plant,curtain,chair,car,water,painting,sofa,shelf,house,sea,mirror,rug,field,armchair,seat,fence,desk,rock,wardrobe,lamp,bathtub,railing,cushion,base,box,column,signboard,chest of drawers,counter,sand,sink,skyscraper,fireplace,refrigerator,grandstand,path,stairs,runway,case,pool table,pillow,screen door,stairway,river,bridge,bookcase,blind,coffee table,toilet,flower,book,hill,bench,countertop,stove,palm,kitchen island,computer,swivel chair,boat,bar,arcade machine,hovel,bus,towel,light,truck,tower,chandelier,awning,streetlight,booth,television receiver,airplane,dirt track,apparel,pole,land,bannister,escalator,ottoman,bottle,buffet,poster,stage,van,ship,fountain,conveyer belt,canopy,washer,plaything,swimming pool,stool,barrel,basket,waterfall,tent,bag,minibike,cradle,oven,ball,food,step,tank,trade name,microwave,pot,animal,bicycle,lake,dishwasher,screen,blanket,sculpture,hood,sconce,vase,traffic light,tray,ashcan,fan,pier,crt screen,plate,monitor,bulletin board,shower,radiator,glass,clock,flag,osm_id,OBJECTID,geometry.y
44,0.00161865234375,0.06278564453125,0.33378662109375,0,0.11491455078125,0,0.16295654296875,0,0,0,0,0.00398681640625,0,0.2212353515625,0,0,0,0.08257080078125,0,0,0.00385009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080908203125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5693359375e-4,0,0,0,0,0,3.1494140625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030322265625,9262152,17,"c(679365.244845353, 422714.2536316)"
49,0.01785888671875,0.12465576171875,0.379921875,0,0.02936767578125,0,0.052177734375,0,0,0,0,0.30923095703125,0,0,0,0,0,0.063349609375,0,0,0.02215576171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0048828125e-4,0,0,0,6.396484375e-4,0,0,0,0,0,1.416015625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,19,"c(679155.502074398, 422709.709111485)"
48,0,0.0244189453125,0.26658203125,0,0.26651611328125,0,0.2364990234375,0,0,0.0905078125,0,0.03685791015625,0,0.0065283203125,0,0,0,0.00698486328125,0,0,0.01341796875,0,0,0,0,0,0,0,0,0,0,0,0.0514892578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9775390625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,18,"c(679298.537624259, 422713.626347058)"
47,0,0.0244189453125,0.26658203125,0,0.26651611328125,0,0.2364990234375,0,0,0.0905078125,0,0.03685791015625,0,0.0065283203125,0,0,0,0.00698486328125,0,0,0.01341796875,0,0,0,0,0,0,0,0,0,0,0,0.0514892578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9775390625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,18,"c(679298.537624259, 422713.626347058)"
52,0,0.05091064453125,0.347353515625,0,0.16842529296875,0,0.17106689453125,0,0,0.05949951171875,0,0.087509765625,0,0.04002197265625,0,0,0,0.0678125,0,0,0.0067041015625,0,0,0,0,0,0,0,0,0,0,0,1.07421875e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025390625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.564453125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2939453125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,20,"c(679125.657533118, 422709.346314054)"
50,0.01785888671875,0.12465576171875,0.379921875,0,0.02936767578125,0,0.052177734375,0,0,0,0,0.30923095703125,0,0,0,0,0,0.063349609375,0,0,0.02215576171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0048828125e-4,0,0,0,6.396484375e-4,0,0,0,0,0,1.416015625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,19,"c(679155.502074398, 422709.709111485)"
51,0.01785888671875,0.12465576171875,0.379921875,0,0.02936767578125,0,0.052177734375,0,0,0,0,0.30923095703125,0,0,0,0,0,0.063349609375,0,0,0.02215576171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0048828125e-4,0,0,0,6.396484375e-4,0,0,0,0,0,1.416015625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,19,"c(679155.502074398, 422709.709111485)"
54,0,0.05091064453125,0.347353515625,0,0.16842529296875,0,0.17106689453125,0,0,0.05949951171875,0,0.087509765625,0,0.04002197265625,0,0,0,0.0678125,0,0,0.0067041015625,0,0,0,0,0,0,0,0,0,0,0,1.07421875e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025390625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.564453125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2939453125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,20,"c(679125.657533118, 422709.346314054)"
53,0,0.05091064453125,0.347353515625,0,0.16842529296875,0,0.17106689453125,0,0,0.05949951171875,0,0.087509765625,0,0.04002197265625,0,0,0,0.0678125,0,0,0.0067041015625,0,0,0,0,0,0,0,0,0,0,0,1.07421875e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.025390625e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.564453125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2939453125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9262152,20,"c(679125.657533118, 422709.346314054)"
55,0,0.1307861328125,0.4002294921875,0,0.02893310546875,0,0.37968017578125,0,0,0.00611328125,0,0.01183349609375,0,0.03566162109375,0,0,0,0,0,0,0.0067138671875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.662109375e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.220703125e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9269875,21,"c(679102.646565165, 422705.330818421)"
